ImageNumber,ObjectNumber,Metadata_Channel,Metadata_Col,Metadata_FileLocation,Metadata_FileName,Metadata_Frame,Metadata_Plate,Metadata_Row,Metadata_Series,Metadata_Well,Children_Cells_Count,Children_FilteredNuclei_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
3,24,nan,021,nan,nan,0,u26a,000,0,A2,1,1,84.30558015943312,833.2426926483614,0,24
3,25,nan,021,nan,nan,0,u26a,000,0,A2,1,1,891.4579037800687,844.1572164948453,0,25
3,26,nan,021,nan,nan,0,u26a,000,0,A2,1,1,172.96758104738154,861.9170822942643,0,26
3,27,nan,021,nan,nan,0,u26a,000,0,A2,1,1,266.0020979020979,879.6083916083916,0,27
3,28,nan,021,nan,nan,0,u26a,000,0,A2,1,1,793.7239709443099,877.4261501210653,0,28
3,29,nan,021,nan,nan,0,u26a,000,0,A2,0,0,345.83547257876313,946.6452742123687,0,29
4,1,nan,022,nan,nan,0,u26a,000,0,A2,0,0,90.14101461736887,58.82287188306105,0,1
4,2,nan,022,nan,nan,0,u26a,000,0,A2,1,1,897.2186978297162,70.161101836394,0,2
4,3,nan,022,nan,nan,0,u26a,000,0,A2,0,0,179.0371925614877,88.09418116376725,0,3
4,4,nan,022,nan,nan,0,u26a,000,0,A2,1,1,271.7926829268293,105.89295392953929,0,4
4,5,nan,022,nan,nan,0,u26a,000,0,A2,1,1,799.5083036773428,103.64056939501779,0,5
4,6,nan,022,nan,nan,0,u26a,000,0,A2,1,1,351.74220963172803,172.65892351274786,0,6
4,7,nan,022,nan,nan,0,u26a,000,0,A2,1,1,416.15587044534414,246.3335020242915,0,7
4,8,nan,022,nan,nan,0,u26a,000,0,A2,1,1,274.5673758865248,237.1566731141199,0,8
4,9,nan,022,nan,nan,0,u26a,000,0,A2,1,1,143.54276827371694,246.87091757387248,0,9
4,10,nan,022,nan,nan,0,u26a,000,0,A2,1,1,710.7690582959641,320.4529147982063,0,10
4,11,nan,022,nan,nan,0,u26a,000,0,A2,1,1,515.8932862190812,329.98303886925794,0,11
4,12,nan,022,nan,nan,0,u26a,000,0,A2,1,1,230.3422431865828,387.6367924528302,0,12
4,13,nan,022,nan,nan,0,u26a,000,0,A2,1,1,86.98698128559805,437.04149715215624,0,13
4,14,nan,022,nan,nan,0,u26a,000,0,A2,0,0,64.26887791107974,539.5116443189837,0,14
4,15,nan,022,nan,nan,0,u26a,000,0,A2,1,1,219.95751633986927,556.0223311546841,0,15
4,16,nan,022,nan,nan,0,u26a,000,0,A2,0,0,142.41574279379157,573.7366962305987,0,16
4,17,nan,022,nan,nan,0,u26a,000,0,A2,1,1,392.28395061728395,612.9017283950617,0,17
4,18,nan,022,nan,nan,0,u26a,000,0,A2,0,0,106.3936170212766,716.1106382978724,0,18
